,company_name,company_type,company_subtype
1459,HARP Trading Ltd,B2BC,Dealer
1460,SILVERTON TRADE SERVICES S.A.,B2BC,Contractor
1461,MARE BLU TUNA FARM LIMITED,B2BC,Food
1462,RF Malta Holding Ltd,B2BC,Residential/Commercial
1463,AGPA CONSULTING INC,B2BC,Referral Services
1464,JUELRU CORP.,B2B,Wholesale  Dealer
1465,INVERSIONES ALGIS S.A.,B2BC,Dealer
1466,Discoleur Corp.,B2BC,Dealer
1467,ALVALADE INVESTMENTS INC.,B2BC,Residential/Commercial
1468,FLIGHTLINE ENTERPRISES LIMITED,B2BC,Travel Agent
1469,STOMEAD ASSETS CORP.,B2BC,Financial Services
1470,KRACONE INVESTMENTS SOCIEDAD ANONIMA,B2BC,Residential/Commercial
1471,ROST CONSULTANCY CORP.,B2BC,Computer Services
1472,CENTRO DE ESTETICO DERMOEXCULTURA Y FASHION,B2C,Health and Beauty
1473,NAYARÍ BEAUTY ESTETIC & FASHION,B2C,Health and Beauty
1474,VIP BARBERSHOP,B2C,Health and Beauty
1475,CLINICA DE BELLEZA GILMA,B2C,Health and Beauty
1476,L.M. AQUALIVE TECHNOLOGY,B2BC,Dealer
1477,L.M. AQUALIVE TECHNOLOGY N.V.,B2BC,Dealer
1478,AGUDELO GENERAL CONTRACTOR,B2BC,Contractor
1479,REDD GENERAL CONSTRUCTION & REMODELING,B2BC,Contractor
1480,VIDRIALUM GENERAL CONSTRUCTION VBA,B2BC,Contractor
1481,CENTRO DI BELLEZA Y ESTETICA TAURO,B2BC,Food
1482,CENTRO DI BELLEZA Y ESTETICA TAURO 2,B2BC,Food
1483,CICLONE SEPTIC TANK SERVICE,B2BC,Repair/ Service/Maintenance
1484,DRY DOCK,B2BC,Contractor
1485,BUBALI LAUNDRY,B2BC,Dealer
1486,INTERPLAN ARUBA N.V.,B2BC,Referral Services
1487,DALTONVALE INC.,B2BC,Residential/Commercial
1488,JET INVESTMENT S.A.,B2BC,Financial Services
1489,"CASA MASTA, S.A.",B2BC,Dealer
1490,DARIO'S MAGIC SCISSORS,B2BC,Dealer
1491,GABIRIA ENTERPRISES N.V.,B2BC,Dealer
1492,CONSTRUCHAPIN,B2BC,Contractor
1493,SPEED SOLUTION V.O.F.,B2BC,Dealer
1494,SPEED SOLUTION,B2BC,Dealer
1495,GARAY ALZATE COMPANY VBA,B2B,Wholesale  Dealer
1496,SIMON AUTHENTIC NATURAL CARE PRODUCTS,B2BC,Dealer
1497,PROYECTOS ESPECIALES,B2BC,Food
1498,C.A. PLUMBING,B2BC,Plumber and/or Gas Contractor
1499,HOPE AMERICAN CORPORATION,B2B,Wholesale  Dealer
1500,ROKENT MANAGEMENT S.A.,B2BC,Contractor
1501,Farmalab Holding Sociedad Anónima,PUB,Community Association
1502,RETNA GROUP S.A.,B2BC,Contractor
1503,WINDING ROAD HOLDINGS LTD.,B2BC,Residential/Commercial
1504,IMPEX GROUP HOLDING CORPORATION,B2B,Wholesale  Dealer
1505,MAS INVESTMENT GROUP CORP,B2BC,Residential/Commercial
1506,HK FOODEX CORP,B2BC,Food
1507,Stonestown Ltd.,B2BC,Dealer
1508,GOLD WATER LAUNDRY VBA,B2BC,Dealer
1509,"STICHTING ""SWITCH FOUNDATION""",PUB,Community Association
1510,STICHTING AGAPE,B2BC,Food
1511,ELISA MODA,B2BC,Dealer
1512,ELISA MODA,B2BC,Dealer
1513,VARIEDADES Y ACCESORIOS ELIZA,B2BC,Food
1514,SEND COURIER TRANSPORT & DELIVERY SERVICES,B2BC,Moving/Transfer Service
1515,BELLEZA PERFECTA BEAUTY SALON,B2C,Health and Beauty
1516,BERAKAH CORPORATION N.V.,B2BC,Contractor
1517,POOLTECH,B2BC,Contractor
1518,LUNA DORADA APPARTMENTS,B2BC,Dealer
1519,DIEGO'S DESIGN & FASHION,B2BC,Dealer
1520,SHOCO SNACK TAKE AWAY,B2BC,Food
1521,NASTY MONKEY'S ENTERTAINMENT N.V. - NASTY MONKEY'S ENTERTAINMENT,B2BC,Entertainment Services
1522,NASTY MONKEY'S ENTERTAINMENT N.V. - SHOCO SNACK TAKE AWAY,B2BC,Food
1523,PERSOONEELSVERENIGING GOTIGOZO (PV GOTIGOZO),B2BC,Contractor
1524,PRO-MARKETING,B2BC,Computer Services
1525,RHYTHM & BOOZE MUSIC BAR ARUBA V.O.F. (I.L.),B2C,Liquor Establishment
1526,ACRYDENT DENTAL LABORATORY  A.D.L.,B2C,Health and Beauty
1527,ABBA SPA & BEAUTY SALON,B2C,Health and Beauty
1528,CREACIONES D'ANDREY,B2C,Health and Beauty
1529,ARUBA SPECIALIST CONCRETE,B2BC,Contractor
1530,ARUBA CONCRETE SPECIALIST GALLERY FACTORY DECORATION IN PLASTER,B2BC,Contractor
1531,IDALCITY TRADING A.V.V. (I.L.),B2B,Wholesale  Dealer
1532,BOMACRON ARUBA,B2BC,Dealer
1533,EL GALLION,B2C,Liquor Establishment
1534,THE GALLION N.V.,B2BC,Dealer
1535,NICHOLE REALTY VOF,B2BC,Real Estate Dealer
1536,FIVE STAR HOLDING COMPANY LTD.,B2BC,Residential/Commercial
1537,TAYRONA ADVISORS LTD.,B2BC,Financial Services
1538,MESSIS INC.,B2BC,Dealer
1539,CARMILL TRADING LIMITED,B2BC,Dealer
1540,VERNE CAPITAL LLP,B2BC,Financial Services
1541,DAKIN BUSINESS INC.,B2BC,Dealer
1542,Giselle Trust,B2BC,Residential/Commercial
1543,Montrachet Trust,B2BC,Residential/Commercial
1544,STICHTING BETH-EL CHURCH,B2BC,Residential/Commercial
1545,A.R.R. SEPTIC TANK,B2BC,Contractor
1546,PACIFIC BUSINESS A.V.V.,B2BC,Financial Services
1547,LISOM IMPORT AVV,B2B,Wholesale  Dealer
1548,ASCENDANCY FINANCE (BARBADOS) LIMITED,B2BC,Financial Services
1549,TILBURG OVERSEAS GROUP S.A.,B2BC,Referral Services
1550,Diego Mar Corp.,B2BC,Contractor
1551,TECNOCONCRET DE CENTROAMERICA CORP.,B2BC,Contractor
1552,ANOLVIA MANAGEMENT CORPORATION,B2BC,Residential/Commercial
1553,GROSMONT FINANCE HOLDINGS INC.,B2BC,Financial Services
1554,YT Rocket Worldwide S.A.,B2BC,Dealer
1555,HUBOTH CORP.,B2BC,Contractor
1556,HAFEL LIMITED,B2BC,Food
1557,ROSEGARTH ENGINEERING LTD.,B2BC,Contractor
1558,DRIEVLIET DEVELOPMENT CORPORATION,B2BC,Contractor
1559,BRENNA EQUITIES CORP.,B2BC,Computer Services
1560,CLANPORT INTERNATIONAL S.A.,B2B,Wholesale  Dealer
1561,The Adviser International Holdings Ltd.,B2BC,Financial Services
1562,Ferrous Resources Limited,B2BC,Contractor
1563,Ferrous Limited,B2BC,Contractor
1564,"Dole Fresh Fruit International, Limited",B2BC,Food
1565,Pacific Reinsurance Limited,B2BC,Financial Services
1566,CHADAI ARUBA CONTRACTOR,B2BC,Contractor
1567,CARIBBEAN SODEAL INTERNATIONAL A.V.V.,PUB,Community Association
1568,NEW BEDFORD HILLS A.V.V.,B2BC,Residential/Commercial
1569,INVESTPAVECA TISSUE TRADING A.V.V.,B2B,Wholesale  Dealer
1570,N. HABIBE JR. REAL ESTATE N.V.,B2BC,Real Estate Dealer
1571,NEREA SERVICES N.V. - NEREA DUCT CLEANING SERVICES,B2BC,Contractor
1572,MANTENIMIENTO NUEVO MILLENIUM,B2BC,Dealer
1573,STICHTING ADMINISTRATIEKANTOOR ARENDS,PUB,Community Association
1574,I.R.C. INSURANCE RIGHTS CONSULTANCY,B2BC,Financial Services
1575,ANGIE LOTUS ESTETICA INTEGRAL VBA,B2C,Health and Beauty
1576,OSORIO CONSTRUCTION & ELECTRICAL SERVICES,B2BC,Electrical Contractor
1577,SERMAC N.V.,B2BC,Contractor
1578,LINUX CONTRACTOR,B2BC,Computer Services
1579,INNOVIDA (ARUBA) FREE ZONE N.V.,B2BC,Food
1580,2 M & S SECURITIES A.V.V.,B2BC,Financial Services
1581,ARUBA FLYING CLUB,B2BC,Instruction
1582,STICHTING ARUBAANSE DIABETICI,B2C,Health and Beauty
1583,ART & DESIGN N.V.,B2BC,Dealer
1584,FOREVER CHIC BOUTIQUE,B2BC,Dealer
1585,RIXMAY BOUTIQUE,B2BC,Dealer
1586,RIXMAY HAIR BEAUTY SALON AND SUPPLIES,B2C,Health and Beauty
1587,MAYSVILLE N.V.,B2BC,Dealer
1588,AMAL SHOETIQUE,B2BC,Dealer
1589,MATRASSENFABRIEK BAROUD ARUBA,B2C,Health and Beauty
1590,FINEST BODY CAR REPAIR SHOP,B2BC,Auto
1591,GARAGE CONFIANSA V.O.F.,B2BC,Auto
1592,GARAGE CONFIANSA,B2BC,Auto
1593,C.S. VIDEOGAME CENTER & INTERNET CAFE,B2BC,Food
1594,ARUBAANSE VERENIGING VAN BELASTINGCONSULENTEN,B2BC,Dealer
1595,KOLIBRIE DAGVERBLIJF,B2BC,Dealer
1596,THE NEW CHICA CAFE 2,B2BC,Food
1597,EL PROGRESO,B2BC,Food
1598,"ROCCLA CHEMICAL SUPPLY, CLEANING & CONTRACTOR SERVICE",B2C,Personal Services
1599,CAS LIMPI SERVICES,B2C,Personal Services
1600,JOYERIA OSORIO,B2BC,Food
1601,LUIS MEJIA PHOTOGRAPHY,B2BC,Studio
1602,CREACIONES ELICAR,B2BC,Food
1603,ART & DESIGN,B2BC,Dealer
1604,ARRONIZ PHOTOGRAPHY ARUBA N.V.,B2BC,Studio
1605,ARUBILCO N.V.,B2B,Wholesale  Dealer
1606,CLARU ENGINEERING AND CONSULTING NV,B2BC,Contractor
1607,"BPLUS INTERNATIONAL HOLDING, CORP",B2B,Wholesale  Dealer
1608,MOJO CARIBBEAN LTD.,B2B,Wholesale  Dealer
1609,"CHS ELECTRONICS, LTD.",B2BC,Dealer
1610,CONSORCIO CROMOLUX C.A. CORP.,B2BC,Dealer
1611,PREMIER AVIATION C.A. CORP,B2BC,Dealer
1612,FIXPOINT COMBINATOR CORP.,B2BC,Computer Services
1613,ZUMAQUE CAPITAL PARTNERS LTD.,B2BC,Financial Services
1614,ZGB LIMITED,B2BC,Dealer
1615,COVENTRY TRANSPORT CORPORATION,B2BC,Moving/Transfer Service
1616,MICROFINE INDUSTRY CORPORATION,B2BC,Dealer
1617,ELITE PROPERTY MANAGEMENT LIMITED,B2BC,Real Estate Dealer
1618,Cabelte Malta Limited,B2BC,Food
1619,CHAPLIN SERVICES LIMITED,B2BC,Electrical Contractor
1620,CINCO IDEAS S.A.,B2BC,Dealer
1621,EVERETTS ENTERPRISES DEVELOPMENT S.A.,B2BC,Contractor
1622,EVERETTS ENTERPRISES DEVELOPMENT S.A.,B2BC,Contractor
1623,VESNELL INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
1624,SUGARCANE FINANCE LTD.,B2BC,Financial Services
1625,GLOBAL CAPITAL ENTERPRISES LTD.,B2BC,Financial Services
1626,ONITOR ASSETS CORP.,B2BC,Financial Services
1627,Maine Science Inc.,B2BC,Dealer
1628,WATERWAYS INVESTMENTS LTD.,B2BC,Residential/Commercial
1629,ZOOM SERVICES CORPORATION,B2BC,Contractor
1630,Brittany Management Limited,B2BC,Contractor
1631,HILGROVE ENTERPRISES LIMITED,B2BC,Residential/Commercial
1632,ClickAqui Network Corp.,B2BC,Computer Services
1633,CLICKDIARIO NETWORK INTERNET CORP.,B2BC,Computer Services
1634,MANATEE VENTURES INC.,B2BC,Residential/Commercial
1635,TZN GROUP INC.,B2BC,Contractor
1636,AYANTE INTERNATIONAL TRADING LTD.,B2B,Wholesale  Dealer
1637,TZN Real Estate Inc.,B2BC,Real Estate Dealer
1638,I.B.B. - BOSTON INVESTMENT COMPANY A.V.V.,B2BC,Residential/Commercial
1639,SIENNA INC.,B2BC,Dealer
1640,TECHTON (BARBADOS) LTD.,B2BC,Computer Services
1641,ASTRID HARDY DESIGN SERVICES INC.,B2BC,Dealer
1642,Media Holdings International Inc.,B2BC,Dealer
1643,Media Holdings International Inc.,B2BC,Dealer
1644,Auto Holdings Ltd.,B2BC,Auto
1645,"PF Holding, Inc.",B2BC,Contractor
1646,"Global Media, Ltd.",B2BC,Computer Services
1647,PeterCat Limited,B2BC,Contractor
1648,PeterCat Investment Limited,B2BC,Residential/Commercial
1649,"Ignite Holding Company, Inc.",B2BC,Contractor
1650,"CLPF, Inc.",B2BC,Contractor
1651,"PFP Investment, Inc.",B2BC,Residential/Commercial
1652,"PFO Investment, Inc.",B2BC,Residential/Commercial
1653,"PF PSpace, Inc.",B2BC,Computer Services
1654,"PF Kngo, Inc.",B2BC,Computer Services
1655,CENTRAL AMERICAN ENERGY SERVICES LIMITED,B2BC,Plumber and/or Gas Contractor
1656,"Longevity Holdings, Inc.",B2BC,Residential/Commercial
1657,"PF Healthcare, Inc.",B2C,Health and Beauty
1658,BLUE PACIFIC VENTURES INC.,B2BC,Contractor
1659,MANATEE VENTURES INC.,B2BC,Residential/Commercial
1660,"People F, Inc.",B2BC,Dealer
1661,People Ventures Inc.,B2BC,Dealer
1662,Gray Mountain Inc.,B2BC,Dealer
1663,Media Assets Management Inc.,B2BC,Financial Services
1664,Petrol Ventures Inc.,B2B,Wholesale  Dealer
1665,RUMASO HOLDINGS LIMITED,B2BC,Residential/Commercial
1666,MIA INVESTMENT TEAM CORPORATION,B2BC,Financial Services
1667,"PMB, Ltd.",B2BC,Contractor
1668,LA SEDE CURRAMBERA BAR-RESTAURANT,B2BC,Food
1669,G.G. CARIBBEAN LINK INTER-CASE INC.,B2B,Wholesale  Dealer
1670,G. G. CARIBBEAN LINK INC.,B2BC,Referral Services
1671,TAK HOLDING COMPANY LIMITED,B2BC,Residential/Commercial
1672,TAKILHO TRADING COMPANY LIMITED,B2B,Wholesale  Dealer
1673,ORDINO CONSULTANTS S.A.,B2BC,Contractor
1674,"PALACA CORPORATION, S.A.",B2B,Wholesale  Dealer
1675,KUSHIRA LIMITED,B2BC,Contractor
1676,Maplehaven Ltd.,B2BC,Residential/Commercial
1677,Arkall Finance Limited,B2BC,Financial Services
1678,VENDEX INTERNATIONAL INVESTMENT N.V.,B2BC,Financial Services
1679,PETROWEST TRADING INTERNATIONAL LTD.,B2B,Wholesale  Dealer
1680,PETROWEST PETROLEUM INTERNATIONAL LTD.,B2B,Wholesale  Dealer
1681,Comino Channel Shipping Limited,B2BC,Moving/Transfer Service
1682,DISCOVERY INVESTMENTS GROUP INC.,B2BC,Residential/Commercial
1683,MULTITRADING LIMITED,B2BC,Contractor
1684,JANSEN MARKETING LTD.,B2BC,Computer Services
1685,"MANIVAL, S.A.",B2BC,Dealer
1686,URTEX ENTERPRISE LTD.,B2B,Wholesale  Dealer
1687,MALDIVAS INTERNATIONAL LTD.,B2B,Wholesale  Dealer
1688,"Ibis Capitales, S.A.",B2BC,Financial Services
1689,LANCET INDUSTRIAL S.A.,B2BC,Contractor
1690,F.V. CONSULTING LTD.,B2BC,Contractor
1691,ARLON ASSET HOLDINGS LTD.,B2BC,Financial Services
1692,GLOBAL OPPORTUNITY VENTURES LTD.,B2BC,Financial Services
1693,S-Disloc II CoVest 1 Ltd.,B2BC,Contractor
1694,Wafra SI GP (Bermuda) Ltd.,B2BC,Dealer
1695,KIBOK'S BARBERSHOP,B2C,Health and Beauty
1696,STICHTING FUNDACION CRISTIANA JESUS PAN DI VIDA,PUB,Community Association
1697,KNIGHTS SECURITY SERVICES,B2BC,Security Services
1698,ARUBA ARMORED TRANSFER,B2BC,Dealer
1699,KNIGHTS SECURITY SERVICES,B2BC,Security Services
1700,ERICK'S STUDIO ONE BEAUTY PARLOR,B2C,Health and Beauty
1701,ERICK'S STUDIO ONE BEAUTY PARLOR N.V. - ERICK'S STUDIO ONE BEAUTY PARLOR N.V.,B2C,Health and Beauty
1702,ERICK'S STUDIO ONE BEAUTY PARLOR N.V. - ERICK'S STUDIO 2,B2C,Health and Beauty
1703,HOUSE SKATING ICE CENTER,B2BC,Instruction
1704,BELARUBA N.V.,B2BC,Dealer
1705,TORRETTOS BURGER,B2BC,Food
1706,ARROW SEPTIC TANK SERVICES,B2BC,Contractor
1707,ADVANCED IMPORT & EXPORT,B2B,Wholesale  Dealer
1708,ADVANCED BUILDERS & CONTRACTORS,B2BC,Contractor
1709,VALDEZ GARAGE,B2BC,Auto
1710,CIRRUS CORPORATION INC. A.V.V.,B2BC,Dealer
1711,CINNAMON INVESTMENTS INC. A.V.V.,B2BC,Residential/Commercial
1712,"RASTA MOVEMENT, CLEANING LANDSCAPING",B2BC,Landscape Gardener
1713,FUNDACION DINAMICA JUVENIL,PUB,Community Association
1714,"MINIMARKET ""EL EDEN""",B2BC,Food
1715,BENIGNO VALDEZ,B2BC,Residential/Commercial
1716,BOUTIQUE MARITZA,B2BC,Dealer
1717,STICHTING IGLESIA EVANGELICA PENTECOSTAL ELIM,PUB,Community Association
1718,FUNDACION IGLESIA CRISTIANA VIVE,PUB,Community Association
1719,GOOD JOB CLEANING SERVICE,B2B,Janitorial Services
1720,DOMINICAN EXPRESS EN CALL CENTER,B2BC,Food
1721,TUCACU BEAUT,B2C,Health and Beauty
1722,CHOSSELS LIMITED,B2BC,Food
1723,INTERNATIONAL MATERIALS (BARBADOS) LTD.,B2B,Wholesale  Dealer
1724,NEWSHORE PRIVATE WEALTH ADMINISTRATION INC.,B2BC,Financial Services
1725,AKL SOLUTIONS INC.,B2BC,Computer Services
1726,NORTH CARIBOO AIR INTERNATIONAL CORP.,B2B,Wholesale  Dealer
1727,VALDEZ INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
1728,TOLMA SOLUTIONS INC.,B2BC,Computer Services
1729,RMB RESOURCES (BARBADOS) LIMITED,B2BC,Financial Services
1730,KIMSCODAD INC.,B2BC,Dealer
1731,INFINITY SERVICES INC.,B2BC,Contractor
1732,R.M. JONES & CO. LIMITED,B2BC,Financial Services
1733,INTERNATIONAL CARGO SYSTEMS LTD.,B2B,Wholesale  Dealer
1734,SINOLATIN CAPITAL INC.,B2BC,Financial Services
1735,SALTWATER INC.,B2BC,Food
1736,THE ENGLISH BAY CORPORATION,B2BC,Entertainment Services
1737,CANADIAN ASSISTANCE CORPORATION,B2BC,Referral Services
1738,PETRO LIMITED,B2BC,Contractor
1739,PRETI INVESTMENTS LTD.,B2BC,Residential/Commercial
1740,BYI INVESTMENTS LIMITED,B2BC,Residential/Commercial
1741,Asia Extreme Ltd.,B2B,Wholesale  Dealer
1742,SWING WELDING SHOP,B2BC,Contractor
1743,THE PEOPLE BUSINESS,B2BC,Dealer
1744,CENTER  @.NET,B2BC,Dealer
1745,THE PEOPLE BUSINESS,B2BC,Dealer
1746,EDGEWOOD GLOBAL CORP.,B2B,Wholesale  Dealer
1747,GUN HOLDING CORPORATION,B2BC,Dealer
1748,VERWOOD DEVELOPMENTS S.A.,B2BC,Contractor
1749,"AMAF, S.A.",B2BC,Dealer
1750,FIDELCO MANAGEMENT S.A.,B2BC,Contractor
1751,"DUNNER BEN, S.A.",B2BC,Contractor
1752,QUENTOS INTERNACIONAL S.A.,B2BC,Entertainment Services
1753,BRUCKNER SERVICES INCORPORATED,B2BC,Electrical Contractor
1754,Stafford Venture Capital Inc.,B2BC,Financial Services
1755,VESTA GROUP COMPANY S.A.,B2B,Wholesale  Dealer
1756,INGHAM TRADING S.A.,B2B,Wholesale  Dealer
1757,CORAZON TRADING VENTURES LTD.,B2B,Wholesale  Dealer
1758,PERKS EQUITIES CORP,B2BC,Computer Services
1759,DANYALE VENTURES INC.,B2BC,Contractor
1760,LANGLEY INDUSTRIES INC.,B2BC,Contractor
1761,IMANPROS SOCIEDAD ANÓNIMA,PUB,Community Association
1762,GROUP ART INC.,B2BC,Dealer
1763,QUARTCORP ASSET CORP.,B2BC,Financial Services
1764,OLD PROVIDENCE LLP,B2BC,Financial Services
1765,UM Holdings Global Inc,B2BC,Residential/Commercial
1766,DARRIS CONSULTING INC.,B2BC,Computer Services
1767,"ADVANI INVESTMENTS INTERNATIONAL, S.A.",B2BC,Financial Services
1768,MorningView Americas Inc.,B2B,Wholesale  Dealer
1769,MESOAMERICA MEDIA LTD.,B2BC,Computer Services
1770,"NEVADA RETAIL AND FRANCHISE INSTITUTE, LTD.",B2BC,Dealer
1771,Athabasca Trading Corp.,B2B,Wholesale  Dealer
1772,STILWELL HOLDINGS ESTATES INC.,B2BC,Residential/Commercial
1773,CHELWOOD SERVICES LTD.,B2BC,Contractor
1774,EDGECLIFF INTERNATIONAL BUSINESS S.A.,B2BC,Financial Services
1775,SUPER HARD HOLDINGS LTD.,B2BC,Contractor
1776,FUNDACION EL PALMAR UNIVERSAL,PUB,Community Association
1777,Asia America Investment Corporation,B2BC,Financial Services
1778,BRISAIR LIMITED,B2BC,Food
1779,SIGAIR LIMITED,B2BC,Contractor
1780,Invercol Limited,B2BC,Contractor
1781,Socol Investments Ltd.,B2BC,Residential/Commercial
1782,AUTO-VIDRIO,B2BC,Auto
1783,AUTO-VIDRIO GARAGE N.V.,B2BC,Auto
1784,MARTEX FOODSERVICES N.V. - LA GRANJA,B2BC,Food
1785,MARTEX FOODSERVICES N.V. - LA GRANJA,B2BC,Food
1786,MARTEX FOODSERVICES N.V. - B.B.Q-HOUSE RESTAURANT,B2BC,Food
1787,HOOLO! BEAUTY SALON,B2C,Health and Beauty
1788,"FUNDASHON IGLESIA UNIVERSAL, HERMANDAD DI HUMANIDAD ARUBA",B2BC,Food
1789,IDEA PSYCHOLOGICAL CENTER,B2C,Health and Beauty
1790,URIGRAF PAINT & MORE,B2BC,Dealer
1791,HECTOR TAKE AWAY,B2BC,Food
1792,HECTOR TAKE AWAY,B2BC,Food
1793,STICHTING ARUBA REEF CARE FOUNDATION,PUB,Community Association
1794,GLOBADIR INVESTMENTS A.V.V.,B2BC,Residential/Commercial
1795,SUPERPLUS CORPORATION A.V.V.,B2BC,Computer Services
1796,ARUBA ORTHODONTIC CLINIC,B2C,Health and Beauty
1797,CHAMBA BLOU N.V.,B2BC,Food
1798,CARIBBEAN INFRASTRUCTURE COMPANY (CIC) N.V.,B2BC,Contractor
1799,AZUCAR,B2BC,Dealer
1800,JAYCO INVESTMENT & REAL ESTATE VBA,B2BC,Real Estate Dealer
1801,LUIS BOAT RESTORATION,B2BC,Contractor
1802,BELNATUR C.V.,B2BC,Dealer
1803,BELLA NATURAL ESTHETIC,B2C,Health and Beauty
1804,MAR-JU ENTERPRISES AVV,B2B,Wholesale  Dealer
1805,RESTAURANTES GLOBAL HOLDING LTD,B2BC,Food
1806,MI POWER INCORPORATED,B2BC,Electrical Contractor
1807,SYBS INTERNATIONAL LTD,B2B,Wholesale  Dealer
1808,BLUECOM INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
1809,INKAHITA LIMITED,B2BC,Food
1810,Mesoamerica Ventures Labs Holdings I Corp.,B2BC,Computer Services
1811,PAULONIA INVESTMENTS LTD.,B2BC,Residential/Commercial
1812,Latin America Export Finance Fund L.P.,B2BC,Financial Services
1813,Petro Andina Resources Ltd.,B2BC,Financial Services
1814,CRISOL GRUPO INTERNACIONAL INC.,B2BC,Food
1815,IPE Industrial Process Engineering International S.A.,B2BC,Contractor
1816,ANTINEA INVESTMENTS LIMITED,B2BC,Residential/Commercial
1817,DECORUM HOLDING LIMITED,B2BC,Dealer
1818,NAVENBY INVESTMENTS GROUP INC.,B2BC,Residential/Commercial
1819,"MILENIOPUERTA, S. A.",B2BC,Dealer
1820,PERELLE OVERSEAS CORP.,B2BC,Referral Services
1821,NITRON OVERSEAS CORP.,B2B,Wholesale  Dealer
1822,BYRNE PORTFOLIO LTD.,B2BC,Dealer
1823,IDEAS TRADEMARKS AND PATENTS CORPORATION,B2BC,Dealer
1824,WHITESWAN BUSINESS INC.,B2BC,Dealer
1825,COLMENA RE LIMITED,B2BC,Financial Services
1826,INVERSIONES JEVM,B2BC,Entertainment Services
1827,LUISA VILLEGAS DESIGN WORLD TRADING VBA,B2B,Wholesale  Dealer
1828,ALIMENTOS YARACAL VBA,B2BC,Dealer
1829,ONTARIO-QUINTA AVV,B2BC,Entertainment Services
1830,ISAMAR SERVICE AND DESIGN,B2BC,Repair/ Service/Maintenance
1831,DIMAR CONSTRUCTION AND CLEANING N.V.,B2B,Janitorial Services
1832,ARUBA TANG SOO DO FEDERATION,B2BC,Entertainment Services
1833,SUPERSHAKE AND INTERNET CAF,B2BC,Food
1834,TANGO TOURS & REPRESENTACIONES,B2BC,Travel Agent
1835,TANGO TOURS N.V. - TANGO TOURS,B2BC,Travel Agent
1836,ARUBATRIP SERVICES,B2BC,Travel Agent
1837,CORPORATION ARUTRIP SERVICES VBA - ARUBATRIP REAL ESTATE,B2BC,Real Estate Dealer
1838,MAHISOFT INC.,B2BC,Computer Services
1839,ELDRIDGE INVESTMENTS LTD.,B2BC,Residential/Commercial
1840,PETROSAUDI OIL SERVICES (VENEZUELA) LTD.,B2B,Wholesale  Dealer
1841,VIPER SUPPLY INC.,B2B,Wholesale  Dealer
1842,TOP SYNERGY SERVICES LTD.,B2BC,Contractor
1843,NEDRA INC,B2BC,Dealer
1844,"FINLA, SCC",B2B,Wholesale  Dealer
1845,CDB FINANCE CORP.,B2BC,Financial Services
1846,JORIK INTERNATIONAL CORPORATION,B2B,Wholesale  Dealer
1847,DEGUE INVESTMENTS LTD.,B2BC,Residential/Commercial
1848,ZAW S.A.,B2BC,Dealer
1849,DMC GROUP LIMITED,B2BC,Contractor
1850,Maan Limited,B2BC,Food
1851,Pandrea Limited,B2BC,Contractor
1852,JANDA GROUP LIMITED,B2BC,Contractor
1853,GAL CAPITAL INVESTMENTS CORPORATION,B2BC,Residential/Commercial
1854,RAVENSVILLE INTERNATIONAL LTD.,B2B,Wholesale  Dealer
1855,Chiral Quest Corp.,B2BC,Travel Agent
1856,White Stallion Corporation,B2BC,Contractor
1857,SERVIAIRES J.M.,B2BC,Food
1858,PURO POLLO,B2BC,Food
1859,MACREM DESIGN,B2BC,Computer Services
1860,DAY BY DAY SNACK,B2BC,Food
1861,SERVICON ARUBA,B2BC,Contractor
1862,SERVICON ARUBA,B2BC,Contractor
1863,SERVICON ARUBA,B2BC,Contractor
1864,CONSECO ARUBA,B2BC,Food
1865,LA BOMBA BAR RESTAURANT,B2BC,Food
1866,NEW FASHION ROSI,B2BC,Dealer
1867,BERMUDEZ CONSTRUCTION,B2BC,Contractor
1868,BIGOTE CONSTRUCTION,B2BC,Contractor
1869,TEES 'N THINGS N.V. - SEASIDE,B2BC,Dealer
1870,PELAEZ QUALITY CONTRACTOR,B2BC,Contractor
1871,IMPORTACIONES SUPREME N.V.,B2BC,Food
1872,HACK Ltd,B2BC,Computer Services
1873,ALPEX EQUITIES ASSETS INC.,B2BC,Financial Services
1874,IKIS SERVICES S.A.,B2C,Personal Services
1875,"HELICONIA, S.A.",B2BC,Dealer
1876,"CLAO, S.A.",B2BC,Dealer
1877,INTERNATIONAL CONSULTING PORTFOLIO INC.,B2B,Wholesale  Dealer
1878,BERKSHIRE FINANCIAL CORP.,B2BC,Financial Services
1879,RNI CORPORATION,B2BC,Contractor
1880,ANDES INVESTMENTS CAPITAL CORPORATION,B2BC,Financial Services
1881,OLDEMAR TRADING LTD.,B2B,Wholesale  Dealer
1882,CASTEL CONSULTING GROUP LTD.,B2BC,Contractor
1883,LINBORNE GLOBAL INC.,B2B,Wholesale  Dealer
1884,DUNCAN GROUP CORP.,B2BC,Contractor
1885,MYC INVESTMENTS S.A.,B2BC,Financial Services
1886,LAMETH LIMITED,B2BC,Dealer
1887,HAKLAND INC.,B2BC,Financial Services
1888,ARTINVEST UNIVERSAL LTD.,B2BC,Contractor
1889,VC INVESTMENTS 1506 LTD.,B2BC,Residential/Commercial
1890,"GENESIS XI, INC.",B2BC,Residential/Commercial
